"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_kg","reps","distance_km","duration_seconds","rpe"
"Big 3 lifts!","13 Sep 2024, 06:53","13 Sep 2024, 07:29","","Bench Press (Barbell)",,"",2,"normal",50,10,,,
"Big 3 lifts!","13 Sep 2024, 06:53","13 Sep 2024, 07:29","","Shrug (Dumbbell)",,"",0,"normal",50,25,,,
"Full Body - B","11 Sep 2024, 07:26","11 Sep 2024, 07:52","","Leg Extension (Machine)",,"",0,"normal",10,20,,,
"Full Body - B","11 Sep 2024, 07:26","11 Sep 2024, 07:52","","Leg Extension (Machine)",,"",1,"normal",20,20,,,
"Full Body - B","11 Sep 2024, 07:26","11 Sep 2024, 07:52","","Incline Chest Press (Machine)",,"",0,"warmup",40,15,,,
"Full Body - B","11 Sep 2024, 07:26","11 Sep 2024, 07:52","","Incline Chest Press (Machine)",,"",1,"normal",40,15,,,
"Full Body - B","11 Sep 2024, 07:26","11 Sep 2024, 07:52","","Incline Chest Press (Machine)",,"",2,"normal",50,10,,,
"Full Body - B","11 Sep 2024, 07:26","11 Sep 2024, 07:52","","Lying Leg Curl (Machine)",,"",0,"dropset",10,20,,,
"Full Body - B","11 Sep 2024, 07:26","11 Sep 2024, 07:52","","Seated Cable Row - V Grip (Cable)",,"",0,"dropset",35,15,,,
"Full Body - B","11 Sep 2024, 07:26","11 Sep 2024, 07:52","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",25,10,,,
"Full Body - B","11 Sep 2024, 07:26","11 Sep 2024, 07:52","","Hammer Curl (Dumbbell)",,"",0,"dropset",30,15,,,
"Don't mess with me rn workout!!","9 Sep 2024, 22:43","9 Sep 2024, 23:10","","Bench Press (Dumbbell)",,"",0,"warmup",30,17,,,
"Don't mess with me rn workout!!","9 Sep 2024, 22:43","9 Sep 2024, 23:10","","Bench Press (Dumbbell)",,"",1,"normal",40,15,,,
"Don't mess with me rn workout!!","9 Sep 2024, 22:43","9 Sep 2024, 23:10","","Bench Press (Dumbbell)",,"",2,"normal",50,15,,,
"Don't mess with me rn workout!!","9 Sep 2024, 22:43","9 Sep 2024, 23:10","","Seated Calf Raise",,"",0,"dropset",50,20,,,
"Don't mess with me rn workout!!","9 Sep 2024, 22:43","9 Sep 2024, 23:10","","Seated Calf Raise",,"",1,"dropset",25,15,,,
"Don't mess with me rn workout!!","9 Sep 2024, 22:43","9 Sep 2024, 23:10","","Lat Pulldown (Cable)",,"",0,"normal",35,15,,,
"Don't mess with me rn workout!!","9 Sep 2024, 22:43","9 Sep 2024, 23:10","","Lat Pulldown (Cable)",,"",1,"normal",30,15,,,
"Don't mess with me rn workout!!","9 Sep 2024, 22:43","9 Sep 2024, 23:10","","Lateral Raise (Dumbbell)",,"",0,"warmup",20,20,,,
"Don't mess with me rn workout!!","9 Sep 2024, 22:43","9 Sep 2024, 23:10","","Lateral Raise (Dumbbell)",,"",1,"dropset",20,15,,,
"Don't mess with me rn workout!!","9 Sep 2024, 22:43","9 Sep 2024, 23:10","","Back Extension (Weighted Hyperextension)",,"",0,"normal",,10,,,
"Don't mess with me rn workout!!","9 Sep 2024, 22:43","9 Sep 2024, 23:10","","Back Extension (Weighted Hyperextension)",,"",1,"normal",10,10,,,
"Full Body - B","5 Sep 2024, 22:39","5 Sep 2024, 23:55","","Shoulder Press (Machine Plates)",,"",0,"warmup",20,15,,,
"Full Body - B","5 Sep 2024, 22:39","5 Sep 2024, 23:55","","Shoulder Press (Machine Plates)",,"",1,"normal",50,15,,,
"Full Body - B","5 Sep 2024, 22:39","5 Sep 2024, 23:55","","Shoulder Press (Machine Plates)",,"",2,"normal",70,15,,,
"Full Body - B","5 Sep 2024, 22:39","5 Sep 2024, 23:55","","Leg Extension (Machine)",,"",0,"normal",10,20,,,
"Full Body - B","5 Sep 2024, 22:39","5 Sep 2024, 23:55","","Leg Extension (Machine)",,"",1,"normal",15,20,,,
"Full Body - B","5 Sep 2024, 22:39","5 Sep 2024, 23:55","","Pull Up (Assisted)",,"",0,"normal",60,10,,,
"Full Body - B","5 Sep 2024, 22:39","5 Sep 2024, 23:55","","Seated Row (Machine)",,"",0,"warmup",50,10,,,
"Full Body - B","5 Sep 2024, 22:39","5 Sep 2024, 23:55","","Seated Row (Machine)",,"",1,"normal",70,15,,,
"Full Body - B","5 Sep 2024, 22:39","5 Sep 2024, 23:55","","Hammer Curl (Dumbbell)",,"",0,"warmup",30,12,,,
"Full Body - B","5 Sep 2024, 22:39","5 Sep 2024, 23:55","","Hammer Curl (Dumbbell)",,"",1,"dropset",30,12,,,
"Full Body - A","3 Sep 2024, 08:34","3 Sep 2024, 09:00","","Incline Chest Press (Machine)",,"",0,"warmup",20,10,,,
"Full Body - A","3 Sep 2024, 08:34","3 Sep 2024, 09:00","","Incline Chest Press (Machine)",,"",1,"normal",40,15,,,
"Full Body - A","3 Sep 2024, 08:34","3 Sep 2024, 09:00","","Incline Chest Press (Machine)",,"",2,"normal",50,15,,,
"Full Body - A","3 Sep 2024, 08:34","3 Sep 2024, 09:00","","Triceps Extension (Dumbbell)",,"",0,"warmup",20,15,,,
"Full Body - A","3 Sep 2024, 08:34","3 Sep 2024, 09:00","","Triceps Extension (Dumbbell)",,"",1,"normal",25,10,,,
"Full Body - A","3 Sep 2024, 08:34","3 Sep 2024, 09:00","","Lateral Raise (Dumbbell)",,"",0,"warmup",20,16,,,
"Full Body - A","3 Sep 2024, 08:34","3 Sep 2024, 09:00","","Lateral Raise (Dumbbell)",,"",1,"dropset",30,15,,,
"Full Body - A","3 Sep 2024, 08:34","3 Sep 2024, 09:00","","Seated Calf Raise",,"",0,"warmup",50,20,,,
"Full Body - A","3 Sep 2024, 08:34","3 Sep 2024, 09:00","","Seated Calf Raise",,"",1,"dropset",50,20,,,
"Full Body - A","3 Sep 2024, 08:34","3 Sep 2024, 09:00","","Lat Pulldown (Cable)",,"",0,"normal",35,15,,,
"Full Body - A","3 Sep 2024, 08:34","3 Sep 2024, 09:00","","Lat Pulldown (Cable)",,"",1,"normal",30,15,,,
"Full Body - Pumped Version","29 Aug 2024, 22:54","29 Aug 2024, 23:46","We did RDLs today almost after eternity coz we need change to make workouts interesting. Putting RDLs as a weekly thing.","Leg Extension (Machine)",,"",0,"normal",5,20,,,
"Full Body - Pumped Version","29 Aug 2024, 22:54","29 Aug 2024, 23:46","We did RDLs today almost after eternity coz we need change to make workouts interesting. Putting RDLs as a weekly thing.","Leg Extension (Machine)",,"",1,"normal",10,12,,,
"Full Body - Pumped Version","29 Aug 2024, 22:54","29 Aug 2024, 23:46","We did RDLs today almost after eternity coz we need change to make workouts interesting. Putting RDLs as a weekly thing.","Squat (Barbell)",,"10lbs bar assumption",0,"normal",,15,,,
"Full Body - Pumped Version","29 Aug 2024, 22:54","29 Aug 2024, 23:46","We did RDLs today almost after eternity coz we need change to make workouts interesting. Putting RDLs as a weekly thing.","Squat (Barbell)",,"10lbs bar assumption",1,"normal",10,9,,,
"Full Body - Pumped Version","29 Aug 2024, 22:54","29 Aug 2024, 23:46","We did RDLs today almost after eternity coz we need change to make workouts interesting. Putting RDLs as a weekly thing.","Squat (Barbell)",,"10lbs bar assumption",2,"normal",30,10,,,
"Full Body - Pumped Version","29 Aug 2024, 22:54","29 Aug 2024, 23:46","We did RDLs today almost after eternity coz we need change to make workouts interesting. Putting RDLs as a weekly thing.","Squat (Barbell)",,"10lbs bar assumption",3,"normal",54,10,,,
"Full Body - Pumped Version","29 Aug 2024, 22:54","29 Aug 2024, 23:46","We did RDLs today almost after eternity coz we need change to make workouts interesting. Putting RDLs as a weekly thing.","Squat (Barbell)",,"10lbs bar assumption",4,"normal",54,10,,,
"Full Body - Pumped Version","29 Aug 2024, 22:54","29 Aug 2024, 23:46","We did RDLs today almost after eternity coz we need change to make workouts interesting. Putting RDLs as a weekly thing.","Romanian Deadlift (Dumbbell)",,"",0,"normal",30,10,,,
"Full Body - Pumped Version","29 Aug 2024, 22:54","29 Aug 2024, 23:46","We did RDLs today almost after eternity coz we need change to make workouts interesting. Putting RDLs as a weekly thing.","Romanian Deadlift (Dumbbell)",,"",1,"normal",40,10,,,
"Full Body - Pumped Version","29 Aug 2024, 22:54","29 Aug 2024, 23:46","We did RDLs today almost after eternity coz we need change to make workouts interesting. Putting RDLs as a weekly thing.","Romanian Deadlift (Dumbbell)",,"",2,"normal",40,15,,,
"Full Body - Pumped Version","29 Aug 2024, 22:54","29 Aug 2024, 23:46","We did RDLs today almost after eternity coz we need change to make workouts interesting. Putting RDLs as a weekly thing.","Bench Press (Barbell)",,"10lbs bar assumed",0,"normal",30,10,,,
"Full Body - Pumped Version","29 Aug 2024, 22:54","29 Aug 2024, 23:46","We did RDLs today almost after eternity coz we need change to make workouts interesting. Putting RDLs as a weekly thing.","Bench Press (Barbell)",,"10lbs bar assumed",1,"normal",50,10,,,
"Full Body - B","28 Aug 2024, 07:03","28 Aug 2024, 07:37","","Incline Chest Press (Machine)",,"",0,"warmup",40,15,,,
"Full Body - B","28 Aug 2024, 07:03","28 Aug 2024, 07:37","","Incline Chest Press (Machine)",,"",1,"normal",50,15,,,
"Full Body - B","28 Aug 2024, 07:03","28 Aug 2024, 07:37","","Incline Chest Press (Machine)",,"",2,"normal",60,10,,,
"Full Body - B","28 Aug 2024, 07:03","28 Aug 2024, 07:37","","Leg Extension (Machine)",,"",0,"normal",10,20,,,
"Full Body - B","28 Aug 2024, 07:03","28 Aug 2024, 07:37","","Leg Extension (Machine)",,"",1,"normal",10,20,,,
"Full Body - B","28 Aug 2024, 07:03","28 Aug 2024, 07:37","","Leg Extension (Machine)",,"",2,"normal",20,20,,,
"Full Body - B","28 Aug 2024, 07:03","28 Aug 2024, 07:37","","Leg Extension (Machine)",,"",3,"normal",15,10,,,
"Full Body - B","28 Aug 2024, 07:03","28 Aug 2024, 07:37","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",30,15,,,
"Full Body - B","28 Aug 2024, 07:03","28 Aug 2024, 07:37","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",35,15,,,
"Full Body - B","28 Aug 2024, 07:03","28 Aug 2024, 07:37","","Preacher Curl (Barbell)",,"",0,"warmup",10,15,,,
"Full Body - B","28 Aug 2024, 07:03","28 Aug 2024, 07:37","","Preacher Curl (Barbell)",,"",1,"dropset",15,10,,,
"Full Body - B","28 Aug 2024, 07:03","28 Aug 2024, 07:37","","Preacher Curl (Barbell)",,"",2,"normal",10,10,,,
"Full Body - B","28 Aug 2024, 07:03","28 Aug 2024, 07:37","","Crunch",,"",0,"dropset",,20,,,
"Full Body - B","28 Aug 2024, 07:03","28 Aug 2024, 07:37","","Lying Leg Curl (Machine)",,"",0,"warmup",10,10,,,
"Full Body - B","28 Aug 2024, 07:03","28 Aug 2024, 07:37","","Lying Leg Curl (Machine)",,"",1,"dropset",10,10,,,
"Full Body - A","26 Aug 2024, 22:58","26 Aug 2024, 23:37","","Bench Press (Dumbbell)",,"",0,"warmup",40,17,,,
"Full Body - A","26 Aug 2024, 22:58","26 Aug 2024, 23:37","","Bench Press (Dumbbell)",,"",1,"normal",60,15,,,
"Full Body - A","26 Aug 2024, 22:58","26 Aug 2024, 23:37","","Bench Press (Dumbbell)",,"",2,"normal",70,10,,,
"Full Body - A","26 Aug 2024, 22:58","26 Aug 2024, 23:37","","Lat Pulldown (Cable)",,"",1,"normal",35,20,,,
"Full Body - A","26 Aug 2024, 22:58","26 Aug 2024, 23:37","","Lat Pulldown (Cable)",,"",2,"normal",30,17,,,
"Full Body - A","26 Aug 2024, 22:58","26 Aug 2024, 23:37","","Seated Calf Raise",,"",1,"dropset",50,20,,,
"Full Body - A","26 Aug 2024, 22:58","26 Aug 2024, 23:37","","Triceps Extension (Dumbbell)",,"",1,"normal",25,15,,,
"Full Body - A","26 Aug 2024, 22:58","26 Aug 2024, 23:37","","Lateral Raise (Dumbbell)",,"",0,"warmup",20,10,,,
"Full Body - A","26 Aug 2024, 22:58","26 Aug 2024, 23:37","","Lateral Raise (Dumbbell)",,"",1,"dropset",30,10,,,
"Not feeling it workout!","22 Aug 2024, 22:49","22 Aug 2024, 23:29","","Bench Press (Dumbbell)",,"",0,"warmup",40,20,,,
"Not feeling it workout!","22 Aug 2024, 22:49","22 Aug 2024, 23:29","","Bench Press (Dumbbell)",,"",1,"normal",50,17,,,
"Not feeling it workout!","22 Aug 2024, 22:49","22 Aug 2024, 23:29","","Shoulder Press (Machine Plates)",,"",1,"normal",50,10,,,
"Not feeling it workout!","22 Aug 2024, 22:49","22 Aug 2024, 23:29","","Shoulder Press (Machine Plates)",,"",2,"normal",50,10,,,
"Not feeling it workout!","22 Aug 2024, 22:49","22 Aug 2024, 23:29","","Seated Row (Machine)",,"",0,"warmup",50,20,,,
"Not feeling it workout!","22 Aug 2024, 22:49","22 Aug 2024, 23:29","","Seated Row (Machine)",,"",1,"normal",50,18,,,
"Not feeling it workout!","22 Aug 2024, 22:49","22 Aug 2024, 23:29","","Seated Row (Machine)",,"",2,"normal",50,20,,,
"Not feeling it workout!","22 Aug 2024, 22:49","22 Aug 2024, 23:29","","Dumbbell Step Up",,"",1,"normal",18.14,10,,,
"Not feeling it workout!","22 Aug 2024, 22:49","22 Aug 2024, 23:29","","Leg Extension (Machine)",,"",1,"dropset",10,20,,,
"Full Body - B","20 Aug 2024, 22:33","20 Aug 2024, 23:16","","Leg Extension (Machine)",,"",0,"normal",10,20,,,
"Full Body - B","20 Aug 2024, 22:33","20 Aug 2024, 23:16","","Leg Extension (Machine)",,"",1,"normal",10,22,,,
"Full Body - B","20 Aug 2024, 22:33","20 Aug 2024, 23:16","","Leg Extension (Machine)",,"",2,"normal",15,15,,,
"Full Body - B","20 Aug 2024, 22:33","20 Aug 2024, 23:16","","Incline Chest Press (Machine)",,"",0,"warmup",40,15,,,
"Full Body - B","20 Aug 2024, 22:33","20 Aug 2024, 23:16","","Incline Chest Press (Machine)",,"",1,"normal",50,12,,,
"Full Body - B","20 Aug 2024, 22:33","20 Aug 2024, 23:16","","Incline Chest Press (Machine)",,"",2,"normal",60,10,,,
"Full Body - B","20 Aug 2024, 22:33","20 Aug 2024, 23:16","","Pull Up (Assisted)",,"",1,"normal",45,3,,,
"Full Body - B","20 Aug 2024, 22:33","20 Aug 2024, 23:16","","Pull Up (Assisted)",,"",2,"normal",65,8,,,
"Full Body - B","20 Aug 2024, 22:33","20 Aug 2024, 23:16","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",30,15,,,
"Full Body - B","20 Aug 2024, 22:33","20 Aug 2024, 23:16","","Shrug (Dumbbell)",,"",0,"normal",50,20,,,
"Full Body - B","20 Aug 2024, 22:33","20 Aug 2024, 23:16","","Lying Leg Curl (Machine)",,"",0,"warmup",5,12,,,
"Full Body - B","20 Aug 2024, 22:33","20 Aug 2024, 23:16","","Lying Leg Curl (Machine)",,"",1,"dropset",10,8,,,
"Full Body - B","20 Aug 2024, 22:33","20 Aug 2024, 23:16","","Hammer Curl (Dumbbell)",,"",1,"dropset",30,10,,,
"Full Body - B","20 Aug 2024, 22:33","20 Aug 2024, 23:16","","Hammer Curl (Dumbbell)",,"",2,"normal",30,10,,,
"Full Body - B","20 Aug 2024, 22:33","20 Aug 2024, 23:16","","Crunch",,"",0,"dropset",,20,,,
"Full Body - A","19 Aug 2024, 22:55","19 Aug 2024, 23:40","","Bench Press (Dumbbell)",,"",0,"warmup",40,20,,,
"Full Body - A","19 Aug 2024, 22:55","19 Aug 2024, 23:40","","Bench Press (Dumbbell)",,"",1,"normal",50,15,,,
"Full Body - A","19 Aug 2024, 22:55","19 Aug 2024, 23:40","","Bench Press (Dumbbell)",,"",2,"normal",60,12,,,
"Full Body - A","19 Aug 2024, 22:55","19 Aug 2024, 23:40","","Lat Pulldown (Cable)",,"",1,"normal",30,20,,,
"Full Body - A","19 Aug 2024, 22:55","19 Aug 2024, 23:40","","Lat Pulldown (Cable)",,"",2,"normal",35,15,,,
"Full Body - A","19 Aug 2024, 22:55","19 Aug 2024, 23:40","","Lat Pulldown (Cable)",,"",3,"normal",30,15,,,
"Full Body - A","19 Aug 2024, 22:55","19 Aug 2024, 23:40","","Seated Calf Raise",,"",0,"warmup",50,20,,,
"Full Body - A","19 Aug 2024, 22:55","19 Aug 2024, 23:40","","Seated Calf Raise",,"",1,"dropset",50,20,,,
"Full Body - A","19 Aug 2024, 22:55","19 Aug 2024, 23:40","","Triceps Extension (Dumbbell)",,"",0,"warmup",20,15,,,
"Full Body - A","19 Aug 2024, 22:55","19 Aug 2024, 23:40","","Triceps Extension (Dumbbell)",,"",1,"normal",25,12,,,
"Full Body - A","19 Aug 2024, 22:55","19 Aug 2024, 23:40","","Back Extension (Weighted Hyperextension)",,"",1,"normal",,10,,,
"Full Body - A","19 Aug 2024, 22:55","19 Aug 2024, 23:40","","Back Extension (Weighted Hyperextension)",,"",2,"normal",10,10,,,
"Full Body - A","19 Aug 2024, 22:55","19 Aug 2024, 23:40","","Lateral Raise (Dumbbell)",,"",0,"warmup",20,15,,,
"Full Body - A","19 Aug 2024, 22:55","19 Aug 2024, 23:40","","Lateral Raise (Dumbbell)",,"",1,"dropset",20,15,,,
"Full Body - B","15 Aug 2024, 12:05","15 Aug 2024, 12:55","","Leg Extension (Machine)",,"",0,"normal",10,20,,,
"Full Body - B","15 Aug 2024, 12:05","15 Aug 2024, 12:55","","Leg Extension (Machine)",,"",1,"normal",10,10,,,
"Full Body - B","15 Aug 2024, 12:05","15 Aug 2024, 12:55","","Leg Extension (Machine)",,"",2,"normal",15,10,,,
"Full Body - B","15 Aug 2024, 12:05","15 Aug 2024, 12:55","","Leg Extension (Machine)",,"",3,"normal",10,10,,,
"Full Body - B","15 Aug 2024, 12:05","15 Aug 2024, 12:55","","Leg Extension (Machine)",,"",4,"normal",15,10,,,
"Full Body - B","15 Aug 2024, 12:05","15 Aug 2024, 12:55","","Incline Chest Press (Machine)",,"",0,"warmup",20,10,,,
"Full Body - B","15 Aug 2024, 12:05","15 Aug 2024, 12:55","","Incline Chest Press (Machine)",,"",1,"normal",50,12,,,
"Full Body - B","15 Aug 2024, 12:05","15 Aug 2024, 12:55","","Incline Chest Press (Machine)",,"",2,"normal",50,10,,,
"Full Body - B","15 Aug 2024, 12:05","15 Aug 2024, 12:55","","Lying Leg Curl (Machine)",,"",0,"warmup",5,10,,,
"Full Body - B","15 Aug 2024, 12:05","15 Aug 2024, 12:55","","Lying Leg Curl (Machine)",,"",1,"dropset",10,10,,,
"Full Body - B","15 Aug 2024, 12:05","15 Aug 2024, 12:55","","Seated Cable Row - V Grip (Cable)",,"",0,"warmup",30,15,,,
"Full Body - B","15 Aug 2024, 12:05","15 Aug 2024, 12:55","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",30,15,,,
"Full Body - B","15 Aug 2024, 12:05","15 Aug 2024, 12:55","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",30,15,,,
"Full Body - B","15 Aug 2024, 12:05","15 Aug 2024, 12:55","","Preacher Curl (Barbell)",,"",0,"warmup",10,10,,,
"Full Body - B","15 Aug 2024, 12:05","15 Aug 2024, 12:55","","Preacher Curl (Barbell)",,"",1,"dropset",10,10,,,
"Full Body - B","15 Aug 2024, 12:05","15 Aug 2024, 12:55","","Preacher Curl (Barbell)",,"",2,"normal",15,10,,,
"Full Body - B","15 Aug 2024, 12:05","15 Aug 2024, 12:55","","Shrug (Dumbbell)",,"",0,"normal",50,20,,,
"Full Body - A","12 Aug 2024, 22:39","12 Aug 2024, 23:23","","Bench Press (Dumbbell)",,"",0,"warmup",40,18,,,
"Full Body - A","12 Aug 2024, 22:39","12 Aug 2024, 23:23","","Bench Press (Dumbbell)",,"",2,"normal",40,10,,,
"Full Body - A","12 Aug 2024, 22:39","12 Aug 2024, 23:23","","Bench Press (Dumbbell)",,"",3,"normal",50,15,,,
"Full Body - A","12 Aug 2024, 22:39","12 Aug 2024, 23:23","","Lat Pulldown (Cable)",,"",0,"warmup",30,15,,,
"Full Body - A","12 Aug 2024, 22:39","12 Aug 2024, 23:23","","Lat Pulldown (Cable)",,"",1,"normal",30,15,,,
"Full Body - A","12 Aug 2024, 22:39","12 Aug 2024, 23:23","","Lat Pulldown (Cable)",,"",2,"normal",25,15,,,
"Full Body - A","12 Aug 2024, 22:39","12 Aug 2024, 23:23","","Back Extension (Weighted Hyperextension)",,"",0,"warmup",,10,,,
"Full Body - A","12 Aug 2024, 22:39","12 Aug 2024, 23:23","","Back Extension (Weighted Hyperextension)",,"",1,"normal",10,10,,,
"Full Body - A","12 Aug 2024, 22:39","12 Aug 2024, 23:23","","Seated Calf Raise",,"",0,"warmup",50,15,,,
"Full Body - A","12 Aug 2024, 22:39","12 Aug 2024, 23:23","","Seated Calf Raise",,"",1,"dropset",50,15,,,
"Full Body - A","12 Aug 2024, 22:39","12 Aug 2024, 23:23","","Triceps Extension (Dumbbell)",,"",0,"warmup",20,10,,,
"Full Body - A","12 Aug 2024, 22:39","12 Aug 2024, 23:23","","Triceps Extension (Dumbbell)",,"",1,"normal",20,12,,,
"Full Body - A","12 Aug 2024, 22:39","12 Aug 2024, 23:23","","Lateral Raise (Dumbbell)",,"",0,"warmup",20,15,,,
"Full Body - A","12 Aug 2024, 22:39","12 Aug 2024, 23:23","","Lateral Raise (Dumbbell)",,"",1,"dropset",20,15,,,
"🏡 Full Body Home Workout","11 Aug 2024, 11:51","11 Aug 2024, 12:16","","Push Up",,"",0,"normal",,12,,,
"🏡 Full Body Home Workout","11 Aug 2024, 11:51","11 Aug 2024, 12:16","","Squat (Bodyweight)",,"",0,"normal",,12,,,
"🏡 Full Body Home Workout","11 Aug 2024, 11:51","11 Aug 2024, 12:16","","Standing Calf Raise",,"",0,"failure",,20,,,
"🏡 Full Body Home Workout","11 Aug 2024, 11:51","11 Aug 2024, 12:16","","Burpee",,"",0,"normal",,10,,,
"🏡 Full Body Home Workout","11 Aug 2024, 11:51","11 Aug 2024, 12:16","","Hip Thrust",,"",0,"normal",,15,,,
"Full Body - B","1 Aug 2024, 22:45","1 Aug 2024, 23:18","","Incline Chest Press (Machine)",,"",0,"normal",40,15,,,
"Full Body - B","1 Aug 2024, 22:45","1 Aug 2024, 23:18","","Incline Chest Press (Machine)",,"",1,"normal",50,15,,,
"Full Body - B","1 Aug 2024, 22:45","1 Aug 2024, 23:18","","Lying Leg Curl (Machine)",,"",0,"warmup",10,8,,,
"Full Body - B","1 Aug 2024, 22:45","1 Aug 2024, 23:18","","Lying Leg Curl (Machine)",,"",1,"dropset",10,12,,,
"Full Body - B","1 Aug 2024, 22:45","1 Aug 2024, 23:18","","Seated Cable Row - V Grip (Cable)",,"",0,"normal",20,20,,,
"Full Body - B","1 Aug 2024, 22:45","1 Aug 2024, 23:18","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",25,15,,,
"Full Body - B","1 Aug 2024, 22:45","1 Aug 2024, 23:18","","Preacher Curl (Barbell)",,"",0,"warmup",10,10,,,
"Full Body - B","1 Aug 2024, 22:45","1 Aug 2024, 23:18","","Preacher Curl (Barbell)",,"",1,"dropset",10,13,,,
"Full Body - B","1 Aug 2024, 22:45","1 Aug 2024, 23:18","","Seated Calf Raise",,"",0,"normal",45,23,,,
"Full Body - A","30 Jul 2024, 22:38","30 Jul 2024, 23:27","","Bench Press (Dumbbell)",,"",1,"warmup",30,17,,,
"Full Body - A","30 Jul 2024, 22:38","30 Jul 2024, 23:27","","Bench Press (Dumbbell)",,"",2,"normal",40,17,,,
"Full Body - A","30 Jul 2024, 22:38","30 Jul 2024, 23:27","","Bench Press (Dumbbell)",,"",3,"normal",68,12,,,
"Full Body - A","30 Jul 2024, 22:38","30 Jul 2024, 23:27","","Leg Extension (Machine)",,"",0,"normal",10,10,,,
"Full Body - A","30 Jul 2024, 22:38","30 Jul 2024, 23:27","","Leg Extension (Machine)",,"",1,"normal",10,20,,,
"Full Body - A","30 Jul 2024, 22:38","30 Jul 2024, 23:27","","Leg Extension (Machine)",,"",2,"normal",15,15,,,
"Full Body - A","30 Jul 2024, 22:38","30 Jul 2024, 23:27","","Lateral Raise (Dumbbell)",,"",0,"warmup",20,15,,,
"Full Body - A","30 Jul 2024, 22:38","30 Jul 2024, 23:27","","Lateral Raise (Dumbbell)",,"",1,"dropset",30,15,,,
"Full Body - A","30 Jul 2024, 22:38","30 Jul 2024, 23:27","","Lat Pulldown (Cable)",,"",0,"warmup",35,15,,,
"Full Body - A","30 Jul 2024, 22:38","30 Jul 2024, 23:27","","Lat Pulldown (Cable)",,"",1,"failure",45,10,,,
"Full Body - A","30 Jul 2024, 22:38","30 Jul 2024, 23:27","","Triceps Extension (Dumbbell)",,"",0,"warmup",20,15,,,
"Full Body - A","30 Jul 2024, 22:38","30 Jul 2024, 23:27","","Triceps Extension (Dumbbell)",,"",1,"dropset",25,18,,,
"Full Body - A","30 Jul 2024, 22:38","30 Jul 2024, 23:27","","Back Extension (Weighted Hyperextension)",,"",0,"warmup",,10,,,
"Full Body - A","30 Jul 2024, 22:38","30 Jul 2024, 23:27","","Back Extension (Weighted Hyperextension)",,"",1,"normal",,12,,,
"Full Body - A","30 Jul 2024, 22:38","30 Jul 2024, 23:27","","Seated Calf Raise",,"",0,"warmup",50,15,,,
"Full Body - A","30 Jul 2024, 22:38","30 Jul 2024, 23:27","","Seated Calf Raise",,"",1,"dropset",50,15,,,
"Full Body - B","25 Jul 2024, 22:38","25 Jul 2024, 23:23","","Incline Bench Press (Barbell)",,"",0,"warmup",15,15,,,
"Full Body - B","25 Jul 2024, 22:38","25 Jul 2024, 23:23","","Incline Bench Press (Barbell)",,"",1,"normal",25,15,,,
"Full Body - B","25 Jul 2024, 22:38","25 Jul 2024, 23:23","","Incline Bench Press (Barbell)",,"",2,"normal",35,15,,,
"Full Body - B","25 Jul 2024, 22:38","25 Jul 2024, 23:23","","Seated Cable Row - V Grip (Cable)",,"",1,"normal",30,15,,,
"Full Body - B","25 Jul 2024, 22:38","25 Jul 2024, 23:23","","Seated Cable Row - V Grip (Cable)",,"",2,"normal",30,15,,,
"Full Body - B","25 Jul 2024, 22:38","25 Jul 2024, 23:23","","Lying Leg Curl (Machine)",,"Very sore hamstrings today from cycling and last workout",0,"warmup",10,10,,,
"Full Body - B","25 Jul 2024, 22:38","25 Jul 2024, 23:23","","Lying Leg Curl (Machine)",,"Very sore hamstrings today from cycling and last workout",1,"dropset",10,10,,,
"Full Body - B","25 Jul 2024, 22:38","25 Jul 2024, 23:23","","Seated Calf Raise",,"",0,"normal",20,25,,,
"Full Body - B","25 Jul 2024, 22:38","25 Jul 2024, 23:23","","Rope Cable Curl",,"",0,"warmup",20,10,,,
"Full Body - B","25 Jul 2024, 22:38","25 Jul 2024, 23:23","","Rope Cable Curl",,"",1,"dropset",20,10,,,
"Full Body - B","25 Jul 2024, 22:38","25 Jul 2024, 23:23","","Dumbbell Step Up",,"",2,"normal",8,20,,,
"Full Body - B","25 Jul 2024, 22:38","25 Jul 2024, 23:23","","Dumbbell Step Up",,"",3,"normal",8,20,,,
"Full Body - A","23 Jul 2024, 07:46","23 Jul 2024, 08:27","","Cycling",,"",0,"normal",,,,900,
"Full Body - A","23 Jul 2024, 07:46","23 Jul 2024, 08:27","","Cycling",,"",1,"normal",,,,900,
"Full Body - A","23 Jul 2024, 07:46","23 Jul 2024, 08:27","","Bench Press (Dumbbell)",,"",1,"warmup",30,15,,,
"Full Body - A","23 Jul 2024, 07:46","23 Jul 2024, 08:27","","Bench Press (Dumbbell)",,"",2,"normal",40,15,,,
"Full Body - A","23 Jul 2024, 07:46","23 Jul 2024, 08:27","","Bench Press (Dumbbell)",,"",3,"normal",50,10,,,
